"id","iata","icao","name"
3,"1T",RNX,"1Time Airline"
10,Q5,MLA,"40-Mile Air"
13,AN,AAA,Ansett Australia
14,"1B","",Abacus International
21,ZI,AAF,Aigle Azur
22,AQ,AAH,Aloha Airlines
24,AA,AAL,American Airlines
28,OZ,AAR,Asiana Airlines
29,"4K",AAS,Askari Aviation
32,"8U",AAW,Afriqiyah Airways
35,G4,AAY,Allegiant Air
42,M3,TUS,ABSA - Aerolinhas Brasileiras
55,"8V",ACP,Astral Aviation
68,"8T","",Air Tindi
72,ZY,ADE,Ada Air
83,JP,ADR,Adria Airways
90,UX,AEA,Air Europa
93,EM,AEB,Aero Benin
96,A3,AEE,Aegean Airlines
106,PE,AEL,Air Europe
109,KO,AER,Alaska Central Express
112,"5W",AEU,Astraeus
114,VV,AEW,Aerosvit Airlines
116,I9,AEY,Air Italy
120,QQ,UTY,Alliance Airlines
125,FG,AFG,Ariana Afghan Airlines
130,SU,AFL,Aeroflot Russian Airlines
132,JA,BON,Air Bosna
137,AF,AFR,Air France
139,SB,ACI,Air Caledonie International
146,"2O","",Air Salone
149,"2Q",SNC,Air Cargo Carriers
153,SW,NMB,Air Namibia
165,"5D",SLI,Aerolitoral
174,"7T",AGV,Air Glaciers
179,PL,PLI,Aeroper
180,"8A",BMM,Atlas Blue
197,J2,AHY,Azerbaijan Airlines
198,U3,AIA,Avies
208,ED,ABQ,Airblue
214,AB,BER,Air Berlin
218,AI,AIC,Air India Limited
220,ZB,BUB,Air Bourbon
221,CC,ABD,Air Atlanta Icelandic
225,TN,THT,Air Tahiti Nui
231,IZ,AIZ,Arkia Israel Airlines
239,JM,AJM,Air Jamaica
240,AP,ADH,Air One
241,S2,RSH,Air Sahara
242,KM,AMC,Air Malta
250,NQ,AJX,Air Japan
263,"4A",AKL,Air Kiribati
281,HP,AWE,America West Airlines
282,ZW,AWI,Air Wisconsin
286,U9,TAK,Tatarstan Airlines
299,VD,"",Air Libert
306,QM,AML,Air Malawi
312,BM,"",Air Sicilia
316,NX,AMU,Air Macau
319,HM,SEY,Air Seychelles
321,AM,AMX,AeroMéxico
324,NH,ANA,All Nippon Airways
327,YW,ANE,Air Nostrum
328,PX,ANG,Air Niugini
329,G9,ABY,Air Arabia
330,AC,ACA,Air Canada
